genre_1,genre_2,co_occurrence_count
pop,pop,50
dance pop,dance pop,34
dance pop,pop,33
pop rap,pop rap,25
pop,post-teen pop,23
post-teen pop,post-teen pop,23
dance pop,post-teen pop,19
pop,pop rap,19
pop rap,rap,16
rap,rap,16
dance pop,pop rap,14
contemporary country,contemporary country,11
contemporary country,country,11
country,country,11
contemporary country,country road,10
country,country road,10
country road,country road,10
pop rock,pop rock,10
hip hop,hip hop,10
hip hop,pop rap,10
hip hop,rap,10
pop,rap,10
pop rap,trap music,9
trap music,trap music,9
pop,uk pop,8
uk pop,uk pop,8
neo mellow,neo mellow,8
pop,pop rock,8
pop rap,southern hip hop,8
rap,trap music,8
southern hip hop,southern hip hop,8
dance pop,r&b,8
electropop,electropop,8
pop,r&b,8
r&b,r&b,8
dance pop,uk pop,7
post-teen pop,uk pop,7
neo mellow,pop,7
neo mellow,pop rock,7
pop,trap music,7
rap,southern hip hop,7
southern hip hop,trap music,7
contemporary country,modern country rock,6
country,modern country rock,6
country road,modern country rock,6
modern country rock,modern country rock,6
hip hop,pop,6
hip hop,southern hip hop,6
hip hop,trap music,6
pop,southern hip hop,6
dance pop,urban contemporary,6
pop,urban contemporary,6
pop rap,r&b,6
r&b,urban contemporary,6
urban contemporary,urban contemporary,6
australian pop,australian pop,6
dance pop,electropop,5
electropop,pop,5
dance pop,rap,5
pop rap,urban contemporary,5
edm,edm,4
edm,pop,4
dance pop,viral pop,4
pop,viral pop,4
post-teen pop,viral pop,4
viral pop,viral pop,4
folk-pop,folk-pop,4
neo mellow,post-teen pop,4
pop rock,post-teen pop,4
atl hip hop,atl hip hop,4
atl hip hop,pop,4
australian pop,pop,4
electropop,post-teen pop,4
dance pop,edm,3
dance pop,talent show,3
pop,talent show,3
post-teen pop,talent show,3
talent show,talent show,3
modern rock,modern rock,3
atl hip hop,pop rap,3
canadian pop,canadian pop,3
atl hip hop,dance pop,3
dance pop,southern hip hop,3
australian pop,dance pop,3
australian pop,post-teen pop,3
australian pop,uk pop,3
dance pop,pop rock,3
pop rap,post-teen pop,3
r&b,rap,3
boy band,boy band,2
boy band,dance pop,2
boy band,pop,2
boy band,post-teen pop,2
contemporary country,country dawn,2
country,country dawn,2
country dawn,country dawn,2
pop,pop punk,2
pop punk,pop punk,2
atl hip hop,hip hop,2
atl hip hop,rap,2
atl hip hop,southern hip hop,2
dance pop,miami hip hop,2
miami hip hop,miami hip hop,2
miami hip hop,pop,2
miami hip hop,pop rap,2
gangster rap,gangster rap,2
gangster rap,hip hop,2
gangster rap,pop rap,2
gangster rap,rap,2
acoustic pop,acoustic pop,2
acoustic pop,neo mellow,2
acoustic pop,pop,2
acoustic pop,pop rock,2
atl hip hop,r&b,2
dance pop,hip hop,2
australian dance,australian dance,2
australian dance,australian pop,2
australian pop,electropop,2
australian pop,talent show,2
electropop,uk pop,2
talent show,uk pop,2
dance pop,neo mellow,2
canadian pop,dance pop,2
canadian pop,pop,2
canadian pop,post-teen pop,2
contemporary country,pop,2
contemporary country,post-teen pop,2
country,pop,2
country,post-teen pop,2
dance pop,europop,2
europop,europop,2
europop,pop,2
folk-pop,pop rock,2
dance pop,trap music,2
r&b,southern hip hop,2
r&b,trap music,2
rap,urban contemporary,2
southern hip hop,urban contemporary,2
trap music,urban contemporary,2
edm,electro house,1
edm,house,1
edm,progressive house,1
edm,uk dance,1
electro house,electro house,1
electro house,house,1
electro house,pop,1
electro house,progressive house,1
electro house,uk dance,1
house,house,1
house,pop,1
house,progressive house,1
house,uk dance,1
pop,progressive house,1
pop,uk dance,1
progressive house,progressive house,1
progressive house,uk dance,1
uk dance,uk dance,1
alternative metal,alternative metal,1
alternative metal,nu metal,1
alternative metal,post-grunge,1
alternative metal,rap metal,1
nu metal,nu metal,1
nu metal,post-grunge,1
nu metal,rap metal,1
post-grunge,post-grunge,1
post-grunge,rap metal,1
rap metal,rap metal,1
boy band,talent show,1
boy band,uk pop,1
country dawn,country road,1
country dawn,modern country rock,1
contemporary country,heartland rock,1
contemporary country,outlaw country,1
contemporary country,texas country,1
country,heartland rock,1
country,outlaw country,1
country,texas country,1
country road,heartland rock,1
country road,outlaw country,1
country road,texas country,1
heartland rock,heartland rock,1
heartland rock,modern country rock,1
heartland rock,outlaw country,1
heartland rock,texas country,1
modern country rock,outlaw country,1
modern country rock,texas country,1
outlaw country,outlaw country,1
outlaw country,texas country,1
texas country,texas country,1
dance pop,emo,1
dance pop,pop punk,1
emo,emo,1
emo,pop,1
emo,pop punk,1
emo,pop rap,1
pop punk,pop rap,1
folk-pop,indie folk,1
folk-pop,modern rock,1
folk-pop,stomp and holler,1
indie folk,indie folk,1
indie folk,modern rock,1
indie folk,stomp and holler,1
modern rock,stomp and holler,1
stomp and holler,stomp and holler,1
indie pop,indie pop,1
indie pop,modern rock,1
indie pop,neo mellow,1
indie pop,pop,1
indie pop,pop punk,1
indie pop,pop rock,1
indie pop,post-teen pop,1
modern rock,neo mellow,1
modern rock,pop,1
