from,to,weight,year
battle rap,hardcore hip hop,0,2021
battle rap,hardcore hip hop,0,2022
battle rap,hardcore hip hop,0,2023
battle rap,hip hop,0,2000
battle rap,hip hop,0,2001
battle rap,hip hop,0,2002
battle rap,hip hop,2,2003
battle rap,hip hop,3,2004
battle rap,hip hop,0,2005
battle rap,hip hop,0,2006
battle rap,hip hop,0,2007
battle rap,hip hop,0,2008
battle rap,hip hop,0,2009
battle rap,hip hop,0,2010
battle rap,hip hop,0,2011
battle rap,hip hop,0,2012
battle rap,hip hop,0,2013
battle rap,hip hop,0,2014
battle rap,hip hop,0,2015
battle rap,hip hop,0,2016
battle rap,hip hop,0,2017
battle rap,hip hop,0,2018
battle rap,hip hop,0,2019
battle rap,hip hop,0,2020
battle rap,hip hop,0,2021
battle rap,hip hop,0,2022
battle rap,hip hop,0,2023
battle rap,hip pop,0,2000
battle rap,hip pop,0,2001
battle rap,hip pop,0,2002
battle rap,hip pop,1,2003
battle rap,hip pop,2,2004
battle rap,hip pop,0,2005
battle rap,hip pop,0,2006
battle rap,hip pop,0,2007
battle rap,hip pop,0,2008
battle rap,hip pop,0,2009
battle rap,hip pop,0,2010
battle rap,hip pop,0,2011
battle rap,hip pop,0,2012
battle rap,hip pop,0,2013
battle rap,hip pop,0,2014
battle rap,hip pop,0,2015
battle rap,hip pop,0,2016
battle rap,hip pop,0,2017
battle rap,hip pop,0,2018
battle rap,hip pop,0,2019
battle rap,hip pop,0,2020
battle rap,hip pop,0,2021
battle rap,hip pop,0,2022
battle rap,hip pop,0,2023
battle rap,philly rap,0,2000
battle rap,philly rap,0,2001
battle rap,philly rap,0,2002
battle rap,philly rap,0,2003
battle rap,philly rap,1,2004
battle rap,philly rap,0,2005
battle rap,philly rap,0,2006
battle rap,philly rap,0,2007
battle rap,philly rap,0,2008
battle rap,philly rap,0,2009
battle rap,philly rap,0,2010
battle rap,philly rap,0,2011
battle rap,philly rap,0,2012
battle rap,philly rap,0,2013
battle rap,philly rap,0,2014
battle rap,philly rap,0,2015
battle rap,philly rap,0,2016
battle rap,philly rap,0,2017
battle rap,philly rap,0,2018
battle rap,philly rap,0,2019
battle rap,philly rap,0,2020
battle rap,philly rap,0,2021
battle rap,philly rap,0,2022
battle rap,philly rap,0,2023
battle rap,pop rap,0,2000
battle rap,pop rap,0,2001
battle rap,pop rap,0,2002
battle rap,pop rap,2,2003
battle rap,pop rap,3,2004
battle rap,pop rap,0,2005
battle rap,pop rap,0,2006
battle rap,pop rap,0,2007
battle rap,pop rap,0,2008
battle rap,pop rap,0,2009
battle rap,pop rap,0,2010
battle rap,pop rap,0,2011
battle rap,pop rap,0,2012
battle rap,pop rap,0,2013
battle rap,pop rap,0,2014
battle rap,pop rap,0,2015
battle rap,pop rap,0,2016
battle rap,pop rap,0,2017
battle rap,pop rap,0,2018
battle rap,pop rap,0,2019
battle rap,pop rap,0,2020
battle rap,pop rap,0,2021
battle rap,pop rap,0,2022
battle rap,pop rap,0,2023
battle rap,rap,0,2000
battle rap,rap,0,2001
battle rap,rap,0,2002
battle rap,rap,2,2003
battle rap,rap,3,2004
battle rap,rap,0,2005
battle rap,rap,0,2006
battle rap,rap,0,2007
battle rap,rap,0,2008
battle rap,rap,0,2009
battle rap,rap,0,2010
battle rap,rap,0,2011
battle rap,rap,0,2012
battle rap,rap,0,2013
battle rap,rap,0,2014
battle rap,rap,0,2015
battle rap,rap,0,2016
battle rap,rap,0,2017
battle rap,rap,0,2018
battle rap,rap,0,2019
battle rap,rap,0,2020
battle rap,rap,0,2021
battle rap,rap,0,2022
battle rap,rap,0,2023
battle rap,southern hip hop,0,2000
battle rap,southern hip hop,0,2001
battle rap,southern hip hop,0,2002
battle rap,southern hip hop,1,2003
battle rap,southern hip hop,2,2004
battle rap,southern hip hop,0,2005
battle rap,southern hip hop,0,2006
battle rap,southern hip hop,0,2007
battle rap,southern hip hop,0,2008
battle rap,southern hip hop,0,2009
battle rap,southern hip hop,0,2010
battle rap,southern hip hop,0,2011
battle rap,southern hip hop,0,2012
battle rap,southern hip hop,0,2013
battle rap,southern hip hop,0,2014
battle rap,southern hip hop,0,2015
battle rap,southern hip hop,0,2016
battle rap,southern hip hop,0,2017
battle rap,southern hip hop,0,2018
battle rap,southern hip hop,0,2019
battle rap,southern hip hop,0,2020
battle rap,southern hip hop,0,2021
battle rap,southern hip hop,0,2022
battle rap,southern hip hop,0,2023
battle rap,trap music,0,2000
battle rap,trap music,0,2001
battle rap,trap music,0,2002
battle rap,trap music,2,2003
battle rap,trap music,3,2004
battle rap,trap music,0,2005
battle rap,trap music,0,2006
battle rap,trap music,0,2007
battle rap,trap music,0,2008
battle rap,trap music,0,2009
battle rap,trap music,0,2010
battle rap,trap music,0,2011
battle rap,trap music,0,2012
battle rap,trap music,0,2013
battle rap,trap music,0,2014
battle rap,trap music,0,2015
battle rap,trap music,0,2016
battle rap,trap music,0,2017
battle rap,trap music,0,2018
battle rap,trap music,0,2019
battle rap,trap music,0,2020
battle rap,trap music,0,2021
battle rap,trap music,0,2022
battle rap,trap music,0,2023
bay area indie,blues-rock,0,2000
bay area indie,blues-rock,0,2001
bay area indie,blues-rock,0,2002
bay area indie,blues-rock,0,2003
bay area indie,blues-rock,0,2004
bay area indie,blues-rock,0,2005
bay area indie,blues-rock,0,2006
bay area indie,blues-rock,0,2007
bay area indie,blues-rock,0,2008
bay area indie,blues-rock,0,2009
bay area indie,blues-rock,0,2010
bay area indie,blues-rock,0,2011
bay area indie,blues-rock,0,2012
bay area indie,blues-rock,0,2013
bay area indie,blues-rock,0,2014
bay area indie,blues-rock,0,2015
bay area indie,blues-rock,0,2016
bay area indie,blues-rock,0,2017
bay area indie,blues-rock,0,2018
bay area indie,blues-rock,0,2019
bay area indie,blues-rock,0,2020
bay area indie,blues-rock,0,2021
bay area indie,blues-rock,0,2022
bay area indie,blues-rock,0,2023
bay area indie,chamber pop,0,2000
bay area indie,chamber pop,0,2001
bay area indie,chamber pop,0,2002
bay area indie,chamber pop,0,2003
bay area indie,chamber pop,0,2004
bay area indie,chamber pop,0,2005
bay area indie,chamber pop,0,2006
bay area indie,chamber pop,0,2007
bay area indie,chamber pop,0,2008
bay area indie,chamber pop,0,2009
bay area indie,chamber pop,0,2010
bay area indie,chamber pop,0,2011
bay area indie,chamber pop,0,2012
bay area indie,chamber pop,0,2013
bay area indie,chamber pop,0,2014
bay area indie,chamber pop,0,2015
bay area indie,chamber pop,0,2016
bay area indie,chamber pop,0,2017
bay area indie,chamber pop,0,2018
bay area indie,chamber pop,0,2019
bay area indie,chamber pop,0,2020
bay area indie,chamber pop,0,2021
bay area indie,chamber pop,0,2022
bay area indie,chamber pop,0,2023
bay area indie,experimental rock,0,2000
bay area indie,experimental rock,0,2001
bay area indie,experimental rock,0,2002
bay area indie,experimental rock,0,2003
bay area indie,experimental rock,0,2004
bay area indie,experimental rock,0,2005
bay area indie,experimental rock,0,2006
bay area indie,experimental rock,0,2007
bay area indie,experimental rock,0,2008
bay area indie,experimental rock,0,2009
bay area indie,experimental rock,0,2010
bay area indie,experimental rock,0,2011
bay area indie,experimental rock,0,2012
bay area indie,experimental rock,0,2013
bay area indie,experimental rock,0,2014
bay area indie,experimental rock,0,2015
bay area indie,experimental rock,0,2016
bay area indie,experimental rock,0,2017
bay area indie,experimental rock,0,2018
bay area indie,experimental rock,0,2019
bay area indie,experimental rock,0,2020
bay area indie,experimental rock,0,2021
bay area indie,experimental rock,0,2022
bay area indie,experimental rock,0,2023
bay area indie,freak folk,0,2000
bay area indie,freak folk,0,2001
bay area indie,freak folk,0,2002
bay area indie,freak folk,0,2003
bay area indie,freak folk,0,2004
bay area indie,freak folk,0,2005
bay area indie,freak folk,0,2006
bay area indie,freak folk,0,2007
bay area indie,freak folk,0,2008
bay area indie,freak folk,0,2009
bay area indie,freak folk,0,2010
bay area indie,freak folk,0,2011
bay area indie,freak folk,0,2012
bay area indie,freak folk,0,2013
bay area indie,freak folk,0,2014
bay area indie,freak folk,0,2015
bay area indie,freak folk,0,2016
bay area indie,freak folk,0,2017
bay area indie,freak folk,0,2018
bay area indie,freak folk,0,2019
bay area indie,freak folk,0,2020
bay area indie,freak folk,0,2021
bay area indie,freak folk,0,2022
bay area indie,freak folk,0,2023
bay area indie,garage pop,0,2000
bay area indie,garage pop,0,2001
bay area indie,garage pop,0,2002
bay area indie,garage pop,0,2003
bay area indie,garage pop,0,2004
bay area indie,garage pop,0,2005
bay area indie,garage pop,0,2006
bay area indie,garage pop,0,2007
bay area indie,garage pop,0,2008
bay area indie,garage pop,0,2009
bay area indie,garage pop,0,2010
bay area indie,garage pop,0,2011
bay area indie,garage pop,0,2012
bay area indie,garage pop,0,2013
bay area indie,garage pop,0,2014
bay area indie,garage pop,0,2015
bay area indie,garage pop,0,2016
bay area indie,garage pop,0,2017
bay area indie,garage pop,0,2018
bay area indie,garage pop,0,2019
bay area indie,garage pop,0,2020
bay area indie,garage pop,0,2021
bay area indie,garage pop,0,2022
bay area indie,garage pop,0,2023
bay area indie,garage psych,0,2000
bay area indie,garage psych,0,2001
bay area indie,garage psych,0,2002
bay area indie,garage psych,0,2003
bay area indie,garage psych,0,2004
bay area indie,garage psych,0,2005
bay area indie,garage psych,0,2006
bay area indie,garage psych,0,2007
bay area indie,garage psych,0,2008
bay area indie,garage psych,0,2009
bay area indie,garage psych,0,2010
bay area indie,garage psych,0,2011
bay area indie,garage psych,0,2012
bay area indie,garage psych,0,2013
bay area indie,garage psych,0,2014
bay area indie,garage psych,0,2015
bay area indie,garage psych,0,2016
bay area indie,garage psych,0,2017
bay area indie,garage psych,0,2018
bay area indie,garage psych,0,2019
bay area indie,garage psych,0,2020
bay area indie,garage psych,0,2021
bay area indie,garage psych,0,2022
bay area indie,garage psych,0,2023
bay area indie,garage rock,0,2000
bay area indie,garage rock,0,2001
bay area indie,garage rock,0,2002
bay area indie,garage rock,0,2003
bay area indie,garage rock,0,2004
bay area indie,garage rock,0,2005
bay area indie,garage rock,0,2006
bay area indie,garage rock,0,2007
bay area indie,garage rock,0,2008
bay area indie,garage rock,0,2009
bay area indie,garage rock,0,2010
bay area indie,garage rock,0,2011
bay area indie,garage rock,0,2012
bay area indie,garage rock,0,2013
bay area indie,garage rock,0,2014
bay area indie,garage rock,0,2015
bay area indie,garage rock,0,2016
bay area indie,garage rock,0,2017
bay area indie,garage rock,0,2018
bay area indie,garage rock,0,2019
bay area indie,garage rock,0,2020
bay area indie,garage rock,0,2021
bay area indie,garage rock,0,2022
bay area indie,garage rock,0,2023
bay area indie,indie folk,0,2000
bay area indie,indie folk,0,2001
bay area indie,indie folk,0,2002
bay area indie,indie folk,0,2003
bay area indie,indie folk,0,2004
bay area indie,indie folk,0,2005
bay area indie,indie folk,0,2006
bay area indie,indie folk,0,2007
bay area indie,indie folk,0,2008
bay area indie,indie folk,0,2009
bay area indie,indie folk,0,2010
bay area indie,indie folk,0,2011
bay area indie,indie folk,0,2012
bay area indie,indie folk,0,2013
bay area indie,indie folk,0,2014
bay area indie,indie folk,0,2015
bay area indie,indie folk,0,2016
bay area indie,indie folk,0,2017
bay area indie,indie folk,0,2018
bay area indie,indie folk,0,2019
bay area indie,indie folk,0,2020
bay area indie,indie folk,0,2021
bay area indie,indie folk,0,2022
bay area indie,indie folk,0,2023
bay area indie,indie garage rock,0,2000
bay area indie,indie garage rock,0,2001
bay area indie,indie garage rock,0,2002
bay area indie,indie garage rock,0,2003
bay area indie,indie garage rock,0,2004
bay area indie,indie garage rock,0,2005
bay area indie,indie garage rock,0,2006
bay area indie,indie garage rock,0,2007
bay area indie,indie garage rock,0,2008
bay area indie,indie garage rock,0,2009
bay area indie,indie garage rock,0,2010
bay area indie,indie garage rock,0,2011
bay area indie,indie garage rock,0,2012
bay area indie,indie garage rock,0,2013
bay area indie,indie garage rock,0,2014
bay area indie,indie garage rock,0,2015
bay area indie,indie garage rock,0,2016
bay area indie,indie garage rock,0,2017
bay area indie,indie garage rock,0,2018
bay area indie,indie garage rock,0,2019
bay area indie,indie garage rock,0,2020
bay area indie,indie garage rock,0,2021
bay area indie,indie garage rock,0,2022
bay area indie,indie garage rock,0,2023
bay area indie,indie pop,0,2000
bay area indie,indie pop,0,2001
bay area indie,indie pop,0,2002
bay area indie,indie pop,0,2003
bay area indie,indie pop,0,2004
bay area indie,indie pop,0,2005
bay area indie,indie pop,0,2006
bay area indie,indie pop,0,2007
bay area indie,indie pop,0,2008
bay area indie,indie pop,0,2009
bay area indie,indie pop,0,2010
bay area indie,indie pop,0,2011
bay area indie,indie pop,0,2012
bay area indie,indie pop,0,2013
bay area indie,indie pop,0,2014
bay area indie,indie pop,0,2015
bay area indie,indie pop,0,2016
bay area indie,indie pop,0,2017
bay area indie,indie pop,0,2018
bay area indie,indie pop,0,2019
bay area indie,indie pop,0,2020
bay area indie,indie pop,0,2021
bay area indie,indie pop,0,2022
bay area indie,indie pop,0,2023
bay area indie,indie rock,0,2000
bay area indie,indie rock,0,2001
bay area indie,indie rock,0,2002
bay area indie,indie rock,0,2003
bay area indie,indie rock,0,2004
bay area indie,indie rock,0,2005
bay area indie,indie rock,0,2006
bay area indie,indie rock,0,2007
bay area indie,indie rock,0,2008
bay area indie,indie rock,0,2009
bay area indie,indie rock,0,2010
bay area indie,indie rock,0,2011
bay area indie,indie rock,0,2012
bay area indie,indie rock,0,2013
bay area indie,indie rock,0,2014
bay area indie,indie rock,0,2015
bay area indie,indie rock,0,2016
bay area indie,indie rock,0,2017
bay area indie,indie rock,0,2018
bay area indie,indie rock,0,2019
bay area indie,indie rock,0,2020
bay area indie,indie rock,0,2021
bay area indie,indie rock,0,2022
bay area indie,indie rock,0,2023
bay area indie,lo-fi,0,2000
bay area indie,lo-fi,0,2001
bay area indie,lo-fi,0,2002
bay area indie,lo-fi,0,2003
bay area indie,lo-fi,0,2004
bay area indie,lo-fi,0,2005
bay area indie,lo-fi,0,2006
bay area indie,lo-fi,0,2007
bay area indie,lo-fi,0,2008
bay area indie,lo-fi,0,2009
bay area indie,lo-fi,0,2010
bay area indie,lo-fi,0,2011
bay area indie,lo-fi,0,2012
bay area indie,lo-fi,0,2013
bay area indie,lo-fi,0,2014
bay area indie,lo-fi,0,2015
bay area indie,lo-fi,0,2016
bay area indie,lo-fi,0,2017
bay area indie,lo-fi,0,2018
bay area indie,lo-fi,0,2019
bay area indie,lo-fi,0,2020
bay area indie,lo-fi,0,2021
bay area indie,lo-fi,0,2022
bay area indie,lo-fi,0,2023
bay area indie,modern rock,0,2000
bay area indie,modern rock,0,2001
bay area indie,modern rock,0,2002
bay area indie,modern rock,0,2003
bay area indie,modern rock,0,2004
bay area indie,modern rock,0,2005
bay area indie,modern rock,0,2006
bay area indie,modern rock,0,2007
bay area indie,modern rock,0,2008
bay area indie,modern rock,0,2009
bay area indie,modern rock,0,2010
bay area indie,modern rock,0,2011
bay area indie,modern rock,0,2012
bay area indie,modern rock,0,2013
bay area indie,modern rock,0,2014
bay area indie,modern rock,0,2015
bay area indie,modern rock,0,2016
bay area indie,modern rock,0,2017
bay area indie,modern rock,0,2018
bay area indie,modern rock,0,2019
bay area indie,modern rock,0,2020
bay area indie,modern rock,0,2021
bay area indie,modern rock,0,2022
bay area indie,modern rock,0,2023
bay area indie,neo-psychedelic,0,2000
bay area indie,neo-psychedelic,0,2001
bay area indie,neo-psychedelic,0,2002
bay area indie,neo-psychedelic,0,2003
bay area indie,neo-psychedelic,0,2004
bay area indie,neo-psychedelic,0,2005
bay area indie,neo-psychedelic,0,2006
bay area indie,neo-psychedelic,0,2007
bay area indie,neo-psychedelic,0,2008
bay area indie,neo-psychedelic,0,2009
bay area indie,neo-psychedelic,0,2010
bay area indie,neo-psychedelic,0,2011
bay area indie,neo-psychedelic,0,2012
bay area indie,neo-psychedelic,0,2013
bay area indie,neo-psychedelic,0,2014
bay area indie,neo-psychedelic,0,2015
bay area indie,neo-psychedelic,0,2016
bay area indie,neo-psychedelic,0,2017
bay area indie,neo-psychedelic,0,2018
bay area indie,neo-psychedelic,0,2019
bay area indie,neo-psychedelic,0,2020
bay area indie,neo-psychedelic,0,2021
bay area indie,neo-psychedelic,0,2022
bay area indie,neo-psychedelic,0,2023
bay area indie,noise pop,0,2000
bay area indie,noise pop,0,2001
bay area indie,noise pop,0,2002
bay area indie,noise pop,0,2003
bay area indie,noise pop,0,2004
bay area indie,noise pop,0,2005
bay area indie,noise pop,0,2006
bay area indie,noise pop,0,2007
bay area indie,noise pop,0,2008
bay area indie,noise pop,0,2009
bay area indie,noise pop,0,2010
bay area indie,noise pop,0,2011
bay area indie,noise pop,0,2012
bay area indie,noise pop,0,2013
bay area indie,noise pop,0,2014
bay area indie,noise pop,0,2015
bay area indie,noise pop,0,2016
bay area indie,noise pop,0,2017
bay area indie,noise pop,0,2018
bay area indie,noise pop,0,2019
bay area indie,noise pop,0,2020
bay area indie,noise pop,0,2021
bay area indie,noise pop,0,2022
bay area indie,noise pop,0,2023
bay area indie,noise rock,0,2000
bay area indie,noise rock,0,2001
bay area indie,noise rock,0,2002
bay area indie,noise rock,0,2003
bay area indie,noise rock,0,2004
bay area indie,noise rock,0,2005
bay area indie,noise rock,0,2006
bay area indie,noise rock,0,2007
bay area indie,noise rock,0,2008
bay area indie,noise rock,0,2009
bay area indie,noise rock,0,2010
bay area indie,noise rock,0,2011
bay area indie,noise rock,0,2012
bay area indie,noise rock,0,2013
bay area indie,noise rock,0,2014
bay area indie,noise rock,0,2015
bay area indie,noise rock,0,2016
bay area indie,noise rock,0,2017
bay area indie,noise rock,0,2018
bay area indie,noise rock,0,2019
bay area indie,noise rock,0,2020
bay area indie,noise rock,0,2021
bay area indie,noise rock,0,2022
bay area indie,noise rock,0,2023
bay area indie,nu gaze,0,2000
bay area indie,nu gaze,0,2001
bay area indie,nu gaze,0,2002
bay area indie,nu gaze,0,2003
bay area indie,nu gaze,0,2004
bay area indie,nu gaze,0,2005
bay area indie,nu gaze,0,2006
bay area indie,nu gaze,0,2007
bay area indie,nu gaze,0,2008
bay area indie,nu gaze,0,2009
bay area indie,nu gaze,0,2010
bay area indie,nu gaze,0,2011
bay area indie,nu gaze,0,2012
bay area indie,nu gaze,0,2013
bay area indie,nu gaze,0,2014
bay area indie,nu gaze,0,2015
bay area indie,nu gaze,0,2016
bay area indie,nu gaze,0,2017
bay area indie,nu gaze,0,2018
bay area indie,nu gaze,0,2019
bay area indie,nu gaze,0,2020
bay area indie,nu gaze,0,2021
bay area indie,nu gaze,0,2022
bay area indie,nu gaze,0,2023
bay area indie,oakland indie,0,2000
bay area indie,oakland indie,0,2001
bay area indie,oakland indie,0,2002
bay area indie,oakland indie,0,2003
bay area indie,oakland indie,0,2004
bay area indie,oakland indie,0,2005
bay area indie,oakland indie,0,2006
bay area indie,oakland indie,0,2007
bay area indie,oakland indie,0,2008
bay area indie,oakland indie,0,2009
bay area indie,oakland indie,0,2010
bay area indie,oakland indie,0,2011
bay area indie,oakland indie,0,2012
bay area indie,oakland indie,0,2013
bay area indie,oakland indie,0,2014
bay area indie,oakland indie,0,2015
bay area indie,oakland indie,0,2016
bay area indie,oakland indie,0,2017
bay area indie,oakland indie,0,2018
bay area indie,oakland indie,0,2019
bay area indie,oakland indie,0,2020
bay area indie,oakland indie,0,2021
bay area indie,oakland indie,0,2022
bay area indie,oakland indie,0,2023
bay area indie,preverb,0,2000
bay area indie,preverb,0,2001
bay area indie,preverb,0,2002
bay area indie,preverb,0,2003
bay area indie,preverb,0,2004
bay area indie,preverb,0,2005
bay area indie,preverb,0,2006
bay area indie,preverb,0,2007
bay area indie,preverb,0,2008
bay area indie,preverb,0,2009
bay area indie,preverb,0,2010
bay area indie,preverb,0,2011
bay area indie,preverb,0,2012
bay area indie,preverb,0,2013
bay area indie,preverb,0,2014
bay area indie,preverb,0,2015
bay area indie,preverb,0,2016
bay area indie,preverb,0,2017
bay area indie,preverb,0,2018
bay area indie,preverb,0,2019
bay area indie,preverb,0,2020
bay area indie,preverb,0,2021
bay area indie,preverb,0,2022
bay area indie,preverb,0,2023
bay area indie,stomp and holler,0,2000
bay area indie,stomp and holler,0,2001
bay area indie,stomp and holler,0,2002
bay area indie,stomp and holler,0,2003
bay area indie,stomp and holler,0,2004
bay area indie,stomp and holler,0,2005
bay area indie,stomp and holler,0,2006
bay area indie,stomp and holler,0,2007
bay area indie,stomp and holler,0,2008
bay area indie,stomp and holler,0,2009
bay area indie,stomp and holler,0,2010
bay area indie,stomp and holler,0,2011
bay area indie,stomp and holler,0,2012
bay area indie,stomp and holler,0,2013
bay area indie,stomp and holler,0,2014
bay area indie,stomp and holler,0,2015
bay area indie,stomp and holler,0,2016
bay area indie,stomp and holler,0,2017
bay area indie,stomp and holler,0,2018
bay area indie,stomp and holler,0,2019
bay area indie,stomp and holler,0,2020
bay area indie,stomp and holler,0,2021
bay area indie,stomp and holler,0,2022
bay area indie,stomp and holler,0,2023
bboy,east coast hip hop,0,2000
bboy,east coast hip hop,0,2001
bboy,east coast hip hop,0,2002
bboy,east coast hip hop,0,2003
bboy,east coast hip hop,0,2004
bboy,east coast hip hop,0,2005
bboy,east coast hip hop,0,2006
bboy,east coast hip hop,0,2007
bboy,east coast hip hop,0,2008
bboy,east coast hip hop,0,2009
bboy,east coast hip hop,0,2010
bboy,east coast hip hop,0,2011
bboy,east coast hip hop,0,2012
bboy,east coast hip hop,0,2013
bboy,east coast hip hop,0,2014
bboy,east coast hip hop,0,2015
bboy,east coast hip hop,0,2016
bboy,east coast hip hop,0,2017
bboy,east coast hip hop,0,2018
bboy,east coast hip hop,0,2019
bboy,east coast hip hop,0,2020
bboy,east coast hip hop,0,2021
bboy,east coast hip hop,0,2022
bboy,east coast hip hop,0,2023
bboy,hardcore hip hop,0,2000
bboy,hardcore hip hop,0,2001
bboy,hardcore hip hop,0,2002
bboy,hardcore hip hop,0,2003
bboy,hardcore hip hop,0,2004
bboy,hardcore hip hop,0,2005
bboy,hardcore hip hop,0,2006
bboy,hardcore hip hop,0,2007
bboy,hardcore hip hop,0,2008
bboy,hardcore hip hop,0,2009
bboy,hardcore hip hop,0,2010
bboy,hardcore hip hop,0,2011
bboy,hardcore hip hop,0,2012
bboy,hardcore hip hop,0,2013
bboy,hardcore hip hop,0,2014
bboy,hardcore hip hop,0,2015
bboy,hardcore hip hop,0,2016
bboy,hardcore hip hop,0,2017
bboy,hardcore hip hop,0,2018
bboy,hardcore hip hop,0,2019
bboy,hardcore hip hop,0,2020
bboy,hardcore hip hop,0,2021
bboy,hardcore hip hop,0,2022
bboy,hardcore hip hop,0,2023
bboy,hip hop,0,2000
bboy,hip hop,0,2001
bboy,hip hop,0,2002
bboy,hip hop,0,2003
bboy,hip hop,0,2004
bboy,hip hop,0,2005
bboy,hip hop,0,2006
bboy,hip hop,0,2007
bboy,hip hop,0,2008
bboy,hip hop,0,2009
bboy,hip hop,0,2010
bboy,hip hop,0,2011
bboy,hip hop,0,2012
bboy,hip hop,0,2013
bboy,hip hop,0,2014
bboy,hip hop,0,2015
bboy,hip hop,0,2016
bboy,hip hop,0,2017
bboy,hip hop,0,2018
bboy,hip hop,0,2019
bboy,hip hop,0,2020
bboy,hip hop,0,2021
bboy,hip hop,0,2022
bboy,hip hop,0,2023
beach music,brill building pop,0,2000
beach music,brill building pop,0,2001
beach music,brill building pop,0,2002
beach music,brill building pop,0,2003
beach music,brill building pop,0,2004
beach music,brill building pop,0,2005
beach music,brill building pop,0,2006
beach music,brill building pop,0,2007
beach music,brill building pop,0,2008
beach music,brill building pop,0,2009
beach music,brill building pop,0,2010
beach music,brill building pop,0,2011
beach music,brill building pop,0,2012
beach music,brill building pop,0,2013
beach music,brill building pop,0,2014
beach music,brill building pop,0,2015
beach music,brill building pop,0,2016
beach music,brill building pop,0,2017
beach music,brill building pop,0,2018
beach music,brill building pop,0,2019
beach music,brill building pop,0,2020
beach music,brill building pop,0,2021
beach music,brill building pop,0,2022
beach music,brill building pop,0,2023
beach music,chicago soul,0,2000
beach music,chicago soul,0,2001
beach music,chicago soul,0,2002
beach music,chicago soul,0,2003
beach music,chicago soul,0,2004
beach music,chicago soul,0,2005
beach music,chicago soul,0,2006
beach music,chicago soul,0,2007
beach music,chicago soul,0,2008
beach music,chicago soul,0,2009
beach music,chicago soul,0,2010
beach music,chicago soul,0,2011
beach music,chicago soul,0,2012
beach music,chicago soul,0,2013
beach music,chicago soul,0,2014
beach music,chicago soul,0,2015
beach music,chicago soul,0,2016
beach music,chicago soul,0,2017
beach music,chicago soul,0,2018
beach music,chicago soul,0,2019
beach music,chicago soul,0,2020
beach music,chicago soul,0,2021
beach music,chicago soul,0,2022
beach music,chicago soul,0,2023
beach music,classic garage rock,0,2000
beach music,classic garage rock,0,2001
beach music,classic garage rock,0,2002
beach music,classic garage rock,0,2003
beach music,classic garage rock,0,2004
beach music,classic garage rock,0,2005
beach music,classic garage rock,0,2006
beach music,classic garage rock,0,2007
beach music,classic garage rock,0,2008
beach music,classic garage rock,0,2009
beach music,classic garage rock,0,2010
beach music,classic garage rock,0,2011
beach music,classic garage rock,0,2012
beach music,classic garage rock,0,2013
beach music,classic garage rock,0,2014
beach music,classic garage rock,0,2015
beach music,classic garage rock,0,2016
beach music,classic garage rock,0,2017
beach music,classic garage rock,0,2018
beach music,classic garage rock,0,2019
beach music,classic garage rock,0,2020
beach music,classic garage rock,0,2021
beach music,classic garage rock,0,2022
beach music,classic garage rock,0,2023
beach music,classic soul,0,2000
beach music,classic soul,0,2001
beach music,classic soul,0,2002
beach music,classic soul,0,2003
beach music,classic soul,0,2004
beach music,classic soul,0,2005
beach music,classic soul,0,2006
beach music,classic soul,0,2007
beach music,classic soul,0,2008
beach music,classic soul,0,2009
beach music,classic soul,0,2010
beach music,classic soul,0,2011
beach music,classic soul,0,2012
beach music,classic soul,0,2013
beach music,classic soul,0,2014
beach music,classic soul,0,2015
beach music,classic soul,0,2016
beach music,classic soul,0,2017
beach music,classic soul,0,2018
beach music,classic soul,0,2019
beach music,classic soul,0,2020
beach music,classic soul,0,2021
beach music,classic soul,0,2022
beach music,classic soul,0,2023
beach music,motown,0,2000
beach music,motown,0,2001
beach music,motown,0,2002
beach music,motown,0,2003
beach music,motown,0,2004
beach music,motown,0,2005
beach music,motown,0,2006
beach music,motown,0,2007
beach music,motown,0,2008
beach music,motown,0,2009
beach music,motown,0,2010
beach music,motown,0,2011
beach music,motown,0,2012
beach music,motown,0,2013
beach music,motown,0,2014
beach music,motown,0,2015
beach music,motown,0,2016
beach music,motown,0,2017
beach music,motown,0,2018
beach music,motown,0,2019
beach music,motown,0,2020
beach music,motown,0,2021
beach music,motown,0,2022
beach music,motown,0,2023
beach music,northern soul,0,2000
beach music,northern soul,0,2001
beach music,northern soul,0,2002
beach music,northern soul,0,2003
beach music,northern soul,0,2004
beach music,northern soul,0,2005
beach music,northern soul,0,2006
beach music,northern soul,0,2007
beach music,northern soul,0,2008
beach music,northern soul,0,2009
beach music,northern soul,0,2010
beach music,northern soul,0,2011
beach music,northern soul,0,2012
beach music,northern soul,0,2013
beach music,northern soul,0,2014
beach music,northern soul,0,2015
beach music,northern soul,0,2016
beach music,northern soul,0,2017
beach music,northern soul,0,2018
beach music,northern soul,0,2019
beach music,northern soul,0,2020
beach music,northern soul,0,2021
beach music,northern soul,0,2022
beach music,northern soul,0,2023
beach music,philly soul,0,2000
beach music,philly soul,0,2001
beach music,philly soul,0,2002
beach music,philly soul,0,2003
beach music,philly soul,0,2004
beach music,philly soul,0,2005
beach music,philly soul,0,2006
beach music,philly soul,0,2007
beach music,philly soul,0,2008
beach music,philly soul,0,2009
beach music,philly soul,0,2010
beach music,philly soul,0,2011
beach music,philly soul,0,2012
beach music,philly soul,0,2013
